Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_Row,Metadata_FieldID,Metadata_plating_density,Metadata_line_ID,Metadata_line_condition,Metadata_line_source,Metadata_compound_ID,URL_Outline
NCP_PILOT_3,BR_NCP_PILOT_3,A18,1,3,10000,NA,control,NA,BRD-K21680192-300-14-4,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-A18-3/r01c18f03p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,A18,1,5,10000,NA,control,NA,BRD-K21680192-300-14-4,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-A18-5/r01c18f05p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,B06,2,3,7500,NA,control,NA,BRD-K21680192-300-14-4,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-B06-3/r02c06f03p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,B06,2,5,7500,NA,control,NA,BRD-K21680192-300-14-4,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-B06-5/r02c06f05p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,B16,2,3,7500,NA,control,NA,BRD-K15108141-003-04-7,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-B16-3/r02c16f03p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,B16,2,5,7500,NA,control,NA,BRD-K15108141-003-04-7,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-B16-5/r02c16f05p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,B23,2,3,5000,NA,control,NA,BRD-K21680192-300-14-4,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-B23-3/r02c23f03p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,B23,2,5,5000,NA,control,NA,BRD-K21680192-300-14-4,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-B23-5/r02c23f05p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,C03,3,3,2500,NA,deletion,NA,BRD-K79131256-001-17-9,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-C03-3/r03c03f03p01-ch5sk1fk1fl1_Overlay.png
NCP_PILOT_3,BR_NCP_PILOT_3,C03,3,5,2500,NA,deletion,NA,BRD-K79131256-001-17-9,https://s3.amazonaws.com/imaging-platform/projects/2019_05_28_Neuronal_Cell_Painting/workspace/analysis/NCP_PILOT_3/BR_NCP_PILOT_3/analysis/BR_NCP_PILOT_3-C03-5/r03c03f05p01-ch5sk1fk1fl1_Overlay.png
